Sample, Source,Position(mm),Absorbance, Fraction Number, Fraction Volume(ml)
647159.526,250803.263,14.27,0.053941,2,1.018
652135.026,250757.605,14.37,0.036296, , 
657726.921,250882.526,14.47,0.018202, , 
662342.447,250860.474,14.57,0.002267, , 
666911.237,250857.158,14.67,-0.013233, , 
671431.868,250821.947,14.77,-0.028751, , 
676146.184,250938.684,14.87,-0.04345, , 
680690.474,250987.632,14.96,-0.058085, , 
684718.684,250969.553,15.06,-0.071526, , 
688579.211,250882.079,15.16,-0.084963, , 
693022.053,250908.579,15.26,-0.099199, , 
697500.526,250866.684,15.36,-0.114071, , 
702058.947,250871.842,15.46,-0.128684, , 
706232.421,250899.921,15.56,-0.141771, , 
709959.605,250860.711,15.66,-0.153968, , 
713931.816,251078.474,15.76,-0.164571, , 
717478.447,251131.579,15.86,-0.175247, , 
720827.421,251118.395,15.96,-0.185845, , 
724287.447,251090.316,16.06,-0.196873, , 
727330.395,251045.579,16.16,-0.206709, , 
730471.289,251012.737,16.26,-0.216701, , 
733422.895,251061.289,16.36,-0.225341, , 
736566.816,251114.947,16.45,-0.234486, , 
739013.763,251116.237,16.55,-0.241938, , 
741579.658,251144.895,16.65,-0.249482, , 
744290.711,251260.316,16.75,-0.25666, , 
746300.263,251124.737,16.85,-0.263942, , 
748414.184,251157.711,16.95,-0.270012, , 
750938.158,251210.158,17.05,-0.277119, , 
752715.053,251106.079,17.15,-0.28337, , 
754748,251058.553,17.25,-0.289866, , 
756594.237,251039.974,17.35,-0.295531, , 
758708.763,251061.974,17.44,-0.301614, , 
759950.474,250889.421,17.54,-0.306842, , 
761754.421,250927.105,17.64,-0.311839, , 
763726.211,251010.447,17.74,-0.31691, , 
765733.632,251044.395,17.84,-0.322513, , 
767371.868,251069.816,17.94,-0.327094, , 
769345.763,251077.421,18.04,-0.332808, , 
770954.211,251030.737,18.14,-0.337926, , 
773014.289,251066.289,18.24,-0.343613, , 
774686.211,251040.553,18.34,-0.348706, , 
776054.553,251038,18.44,-0.3527, , 
777492.5,251079.132,18.54,-0.356497, , 
778601.395,251065.658,18.64,-0.359825, , 
779853.026,251035.289,18.73,-0.363712, , 
780894.605,251031.737,18.83,-0.366748, , 
782438.947,251171.526,18.93,-0.369941, , 
784209.947,251361.842,19.03,-0.373325, , 
784805.711,251215.421,19.13,-0.376345, , 
785833.947,251104.632,19.23,-0.380284, , 
786534.737,251080.763,19.33,-0.382504, , 
787215.974,251066.763,19.43,-0.384578, , 
787903.579,251090.079,19.53,-0.386334, , 
788871.579,251275.289,19.63,-0.387438, , 
788262.289,251079.237,19.72,-0.387455, , 
787913.026,251110.605,19.82,-0.386177, , 
787208.684,251106.474,19.92,-0.384201, , 
786145.158,251184.053,20.02,-0.380464, , 
784200.842,251173.474,20.12,-0.374986, , 
781378.342,251202.632,20.22,-0.36661, , 
777190.526,251205.868,20.32,-0.354487, , 
771923.421,251251.5,20.42,-0.338775, , 
765803.184,251298.474,20.52,-0.320441, , 
758704.263,251296,20.61,-0.299504, , 
750669.789,251286.974,20.71,-0.275626, , 
743153.526,251526.132,20.81,-0.250839, , 
733912.816,251280.263,20.91,-0.224882, , 
725321.711,251297.526,21.01,-0.198228, , 
717287.079,251297.947,21.11,-0.173157, , 
709749.737,251359.447,21.21,-0.148833, , 
703054.684,251293.737,21.31,-0.128092, , 
697192.789,251209.395,21.41,-0.110005,3,1.018
692765.684,251299.658,21.51,-0.094861, , 
688211.5,251057.342,21.61,-0.082189, , 
