Sample, Source,Position(mm),Absorbance, Fraction Number, Fraction Volume(ml)
813913,250973.026,60.66,-0.460472, , 
814176,251047.158,60.77,-0.460535, , 
814080,251032.395,60.86,-0.460402, , 
813741.289,250954.947,60.96,-0.460159, , 
813633.816,250996.842,61.06,-0.459487, , 
813656.868,251109.658,61.16,-0.458539, , 
812687.895,250947.526,61.26,-0.457311, , 
812146.368,251007.974,61.36,-0.455269, , 
811021.526,250953.737,61.46,-0.452636, , 
809862.447,250947.737,61.56,-0.449471, , 
809030.237,251138.105,61.66,-0.445451, , 
807278.342,251069.763,61.76,-0.441185, , 
804613.316,250794.605,61.85,-0.436211, , 
803068.316,250891.184,61.95,-0.43102, , 
801515.711,250980.895,62.05,-0.42586, , 
799739.263,250963.237,62.15,-0.421025, , 
798555.5,251095.5,62.25,-0.416506, , 
797063,251136.105,62.35,-0.411932, , 
795274.211,251005.5,62.45,-0.408046, , 
794014.605,251006.895,62.55,-0.404467, , 
792435.868,250822.026,62.65,-0.401646, , 
791639.447,250832.132,62.75,-0.399292, , 
791248.211,250897.184,62.84,-0.397596, , 
790698.421,250839.237,62.94,-0.396552, , 
790894.132,250920.789,63.04,-0.396377, , 
790888.184,250895.316,63.14,-0.396589, , 
790919.947,250875.842,63.24,-0.396854, , 
791195.605,250912.211,63.34,-0.397312, , 
791313.895,250881.026,63.44,-0.397928, , 
791548.184,250895,63.54,-0.398469, , 
791942.316,250924.816,63.64,-0.399322, , 
792737.053,251059.474,63.74,-0.400371, , 
793268.447,251104.5,63.83,-0.401476, , 
793406.763,251068.605,63.93,-0.40219, , 
793702.184,251024.237,64.03,-0.403425, , 
794004.079,251034.658,64.13,-0.404188,9,1.018
794355.211,251052.474,64.23,-0.405023, , 
794352.421,250982.026,64.33,-0.405647, , 
794671.263,251002.974,64.43,-0.406362, , 
794595.316,250908.026,64.53,-0.406998, , 
795172.816,251031.974,64.63,-0.407522, , 
795426.737,251025.921,64.73,-0.408295, , 
795712.289,251025.737,64.83,-0.409104, , 
796136.079,251014.579,64.93,-0.410402, , 
796363.079,250994.447,65.03,-0.411225, , 
796492.842,250986,65.12,-0.411667, , 
796880.316,251057.105,65.22,-0.412124, , 
797023.263,251052.632,65.32,-0.412568, , 
797002.316,250996,65.42,-0.413016, , 
796893.763,251044.868,65.52,-0.412272, , 
797547.658,251176.737,65.62,-0.412936, , 
797117.026,251075.421,65.72,-0.412628, , 
797352.947,251112.105,65.82,-0.412965, , 
796479.579,250893.711,65.92,-0.412457, , 
796620.289,251071.5,66.02,-0.411261, , 
795895,251004.421,66.11,-0.409812, , 
795387.605,251006.026,66.21,-0.408362, , 
794393.5,251018.868,66.31,-0.405433, , 
793340.026,251023.684,66.41,-0.402403, , 
791816.579,250995.289,66.51,-0.398332, , 
789994.158,250924.026,66.61,-0.393786, , 
788836.921,251106.921,66.71,-0.388847, , 
786412.184,251057.974,66.81,-0.382358, , 
783918.395,251106.921,66.91,-0.374771, , 
782055.368,251251.026,67.01,-0.368126, , 
778945.289,250995.947,67.1,-0.361444, , 
776424.974,250974.368,67.2,-0.354344, , 
774304.289,250975.5,67.3,-0.348179, , 
772651.579,251063.184,67.4,-0.342584, , 
771264.105,251051.158,67.5,-0.338647, , 
769826.316,250975.263,67.6,-0.335129, , 
769032.553,250923.816,67.7,-0.333268, , 
768777.921,250933.842,67.8,-0.332433, , 
768839.342,250995.158,67.9,-0.332063, , 
768419.711,250893.579,68,-0.331746, , 
769047.947,250930.868,68.09,-0.33325, , 
769100.158,250873.342,68.19,-0.333919, , 
769787.789,250890.789,68.29,-0.335774, , 
770179.605,250918.947,68.39,-0.336666, , 
771166.421,250941.474,68.49,-0.339346, , 
771786.684,250954.579,68.59,-0.341038, , 
772807.026,251062.632,68.69,-0.343042, , 
772924.842,250956.605,68.79,-0.344336, , 
773270.105,250873.789,68.89,-0.346084, , 
774214.579,250962.368,68.99,-0.348036, , 
774633.816,250940.368,69.09,-0.349452, , 
775348.868,251093.053,69.18,-0.350159, , 
774868.526,250861.974,69.28,-0.350837, , 
774821.211,250865.105,69.38,-0.350671, , 
774674.079,250901.763,69.48,-0.349915, , 
773954.895,250899.632,69.58,-0.347844, , 
772470.895,250876.395,69.68,-0.343733, , 
771344.579,250913.158,69.78,-0.34012, , 
769068.711,250871.5,69.88,-0.333843, , 
766732.105,250901.789,69.98,-0.326724, , 
763913.947,250904.658,70.08,-0.318411, , 
761192.447,250956.526,70.18,-0.309915, , 
758829.868,251103.289,70.28,-0.301603, , 
755848.632,250861,70.38,-0.294917, , 
753990.553,250838.816,70.48,-0.289577, , 
753218.711,250894.421,70.57,-0.286773, , 
752567.684,250775.368,70.67,-0.285895, , 
752913.289,250771.579,70.77,-0.286963, , 
753665.816,250795.553,70.87,-0.288996, , 
755412.763,250898.553,70.97,-0.293282, , 
756862.447,250927.632,71.07,-0.297336, , 
758048.816,250776.974,71.17,-0.302212, , 
759468.684,250843.289,71.27,-0.305828,10,1.017
760967.789,250800.816,71.37,-0.310647, , 
761982.579,250779.395,71.46,-0.313838, , 
763128.658,250854.763,71.56,-0.316544, , 
762994.105,250797.579,71.66,-0.316661, , 
763483,251029.237,71.76,-0.316024, , 
761849.211,250752.079,71.86,-0.31369, , 
760399.789,250739.211,71.96,-0.30952, , 
758600.342,250774.132,72.06,-0.303874, , 
756559.368,250812.842,72.16,-0.297464, , 
754274.053,250824.132,72.26,-0.290555, , 
752166.395,250809.658,72.36,-0.284387, , 
750468.579,250812.263,72.45,-0.279279, , 
750025.526,250859.789,72.56,-0.277523, , 
750281.474,250856.079,72.66,-0.278324, , 
751995.711,251021.184,72.76,-0.28198, , 
753370.789,251020.684,72.86,-0.286095, , 
754188,250934.868,72.96,-0.289305, , 
755185.684,250903.132,73.05,-0.292564, , 
755927.316,250974.184,73.15,-0.294136, , 
757137.289,251169.368,73.25,-0.295986, , 
757344.632,251274.816,73.35,-0.295657, , 
756843.684,251041.132,73.45,-0.296262, , 
756415.553,250939.368,73.55,-0.295901, , 
756705.763,250901.684,73.65,-0.297103, , 
757166.079,250881.605,73.75,-0.298651, , 
758264.421,250965.921,73.85,-0.301157, , 
758469.921,250933.579,73.95,-0.302057, , 
758479.237,250883.632,74.04,-0.302533, , 
758710.105,250853.237,74.14,-0.30349, , 
760842.921,251297.053,74.24,-0.305829, , 
760606.395,251021.211,74.34,-0.307601, , 
760951.289,250898,74.44,-0.309726, , 
761287,250849.526,74.54,-0.311154, , 
761901.921,250852.921,74.64,-0.31294, , 
761750.289,250732,74.74,-0.313578, , 
762290.316,250767.026,74.84,-0.314858, , 
762916.474,250840.789,74.94,-0.316044, , 
763436.816,250830.263,75.04,-0.317673, , 
764091.816,250856.553,75.14,-0.319367, , 
764243.211,250745.105,75.24,-0.320813, , 
764624.474,250731.053,75.33,-0.322061, , 
765162.026,250755.947,75.43,-0.323419, , 
765111.289,250667.658,75.53,-0.324063, , 
765741.263,250716.447,75.63,-0.325477, , 
766242.342,250780.553,75.73,-0.326374, , 
766617.842,250823.553,75.83,-0.32709, , 
766919.421,250815.237,75.93,-0.32805, , 
767187.368,250805.553,76.03,-0.328923, , 
767729.105,250855.263,76.13,-0.330066, , 
767835.026,250811.553,76.23,-0.330768, , 
768401.474,250817.605,76.32,-0.332374, , 
768913.974,250972.026,76.42,-0.332489, , 
769715.526,251153.921,76.52,-0.333203, , 
768952.526,250843.947,76.62,-0.333751,11,0.778
768886.526,250699.053,76.72,-0.334858, , 
769212,250755.368,76.82,-0.335305, , 
769701.079,250884.079,76.92,-0.33558, , 
771174.711,251326.132,77.02,-0.335923, , 
771384.789,251288.737,77.12,-0.336871, , 
771029.158,251087.526,77.22,-0.337636, , 
770647.632,250863.632,77.31,-0.33853, , 
770401.632,250760.342,77.41,-0.338738, , 
770762.026,250723.447,77.51,-0.340121, , 
770925.789,250736.211,77.61,-0.340485, , 
771225.763,250809.237,77.71,-0.340705, , 
771138.789,250772.079,77.81,-0.340785, , 
